AO,MQ-4,Nano,Diff,|Diff|
0.175092,4054,5450,-1396,1396
0.173626,3857,5285,-1428,1428
0.172650,3727,5211,-1484,1484
0.171184,3534,5053,-1519,1519
0.170452,3439,4968,-1529,1529
0.169475,3313,4819,-1506,1506
0.168010,3127,4744,-1617,1617
0.168254,3158,4612,-1454,1454
0.166300,2913,4562,-1649,1649
0.164591,2704,4418,-1714,1714
0.164103,2645,4293,-1648,1648
0.163126,2527,4230,-1703,1703
0.161416,2325,4118,-1793,1793
0.160440,2212,4058,-1846,1846
0.160195,2184,3948,-1764,1764
0.159219,2072,3892,-1820,1820
0.157998,1934,3775,-1841,1841
0.156532,1771,3718,-1947,1947
0.157021,1825,3617,-1792,1792
0.155556,1665,3522,-1857,1857
0.154090,1507,3476,-1969,1969
0.153602,1456,3378,-1922,1922
0.152625,1353,3333,-1980,1980
0.151893,1277,3243,-1966,1966
0.151160,1202,3200,-1998,1998
0.151893,1277,3110,-1833,1833
0.149939,1079,3062,-1983,1983
0.149695,1054,2990,-1936,1936
0.149451,1030,2901,-1871,1871
0.148718,957,2874,-1917,1917
0.147741,862,2814,-1952,1952
0.147741,862,2792,-1930,1930
0.147497,838,2743,-1905,1905
0.146276,721,2717,-1996,1996
0.146276,721,2671,-1950,1950
0.145788,675,2630,-1955,1955
0.144811,583,2580,-1997,1997
0.144811,583,2519,-1936,1936
0.143590,471,2502,-2031,2031
0.143834,493,2455,-1962,1962
0.143590,471,2435,-1964,1964
0.143346,449,2388,-1939,1939
0.142369,361,2367,-2006,2006
0.142369,361,2325,-1964,1964
0.141636,296,2300,-2004,2004
0.141392,274,2273,-1999,1999
0.140904,232,2244,-2012,2012
0.140171,168,2231,-2063,2063
0.139927,147,2191,-2044,2044
0.140904,232,2180,-1948,1948
0.139927,147,2143,-1996,1996
0.138462,22,2123,-2101,2101
0.139194,84,2088,-2004,2004
0.137973,-17,2071,-2088,2088
0.138462,22,2042,-2020,2020
0.137973,-17,2019,-2036,2036
0.136996,-98,2012,-2110,2110
0.136508,-138,1991,-2129,2129
0.136508,-138,1967,-2105,2105
0.136508,-138,1924,-2062,2062
0.135043,-255,1916,-2171,2171
0.135287,-236,1872,-2108,2108
0.134554,-294,0,-294,294
0.134066,-332,0,-332,332
0.222955,10887,0,10887,10887
0.219536,10482,2230,8252,8252
0.218803,10390,8418,1972,1972
0.221490,10718,10403,315,315
0.221001,10660,12316,-1656,1656
0.220513,10602,12643,-2041,2041
0.219536,10482,12722,-2240,2240
0.218559,10360,12632,-2272,2272
0.216850,10139,12386,-2247,2247
0.215140,9911,12084,-2173,2173
0.214408,9811,11936,-2125,2125
0.212943,9608,11648,-2040,2040
0.211722,9437,11505,-2068,2068
0.211477,9402,11239,-1837,1837
0.210256,9227,11115,-1888,1888
0.209035,9050,10887,-1837,1837
0.207814,8871,10785,-1914,1914
0.207082,8763,10574,-1811,1811
0.205617,8546,10369,-1823,1823
0.205372,8509,10272,-1763,1763
0.204396,8363,10065,-1702,1702
0.202930,8143,9979,-1836,1836
0.201954,7996,9795,-1799,1799
0.200488,7774,9690,-1916,1916
0.199756,7662,9498,-1836,1836
0.199023,7551,9390,-1839,1839
0.198535,7477,9194,-1717,1717
0.196581,7180,9019,-1839,1839
0.195604,7032,8936,-1904,1904
0.195116,6958,8742,-1784,1784
0.193895,6773,8656,-1883,1883
0.193407,6699,8481,-1782,1782
0.191941,6479,8402,-1923,1923
0.192186,6515,8225,-1710,1710
0.189988,6186,8127,-1941,1941
0.189255,6076,7972,-1896,1896
0.189255,6076,7812,-1736,1736
0.187790,5859,7730,-1871,1871
0.186325,5643,7571,-1928,1928
0.186081,5607,7495,-1888,1888
0.185104,5464,7345,-1881,1881
0.183883,5287,7267,-1980,1980
0.183150,5181,7119,-1938,1938
0.182173,5041,7043,-2002,2002
0.181197,4901,6880,-1979,1979
0.179487,4660,6744,-2084,2084
0.179487,4660,6669,-2009,2009
0.178510,4523,6532,-2009,2009
0.177534,4388,6457,-2069,2069
0.177534,4388,6310,-1922,1922
0.175824,4153,6232,-2079,2079
0.175336,4087,6098,-2011,2011
0.175092,4054,6036,-1982,1982
0.174115,3922,5903,-1981,1981
0.172405,3695,5774,-2079,2079
0.172650,3727,5715,-1988,1988
0.171673,3598,5602,-2004,2004
0.170696,3471,5535,-2064,2064
0.170208,3408,5418,-2010,2010
0.169475,3313,5359,-2046,2046
0.169231,3282,5264,-1982,1982
0.168254,3158,5212,-2054,2054
0.168254,3158,5119,-1961,1961
0.166789,2974,5022,-2048,2048
0.166056,2883,4974,-2091,2091
0.166300,2913,4892,-1979,1979
0.165079,2763,4847,-2084,2084
0.164347,2674,4751,-2077,2077
0.164103,2645,4698,-2053,2053
0.162882,2498,4609,-2111,2111
0.162637,2469,4557,-2088,2088
0.162393,2440,4471,-2031,2031
0.161661,2354,4390,-2036,2036
0.161416,2325,4350,-2025,2025
0.161172,2297,4272,-1975,1975
0.159951,2156,4233,-2077,2077
0.159707,2128,4170,-2042,2042
0.159219,2072,4132,-2060,2060
0.158486,1989,4068,-2079,2079
0.157753,1907,4036,-2129,2129
0.157998,1934,3966,-2032,2032
0.156288,1745,3899,-2154,2154
0.157021,1825,3871,-2046,2046
0.156777,1798,3811,-2013,2013
0.156532,1771,3770,-1999,1999
0.155800,1691,3714,-2023,2023
0.154579,1560,3683,-2123,2123
0.154823,1586,3618,-2032,2032
0.154579,1560,3594,-2034,2034
0.153358,1430,3543,-2113,2113
0.153846,1482,3501,-2019,2019
0.153602,1456,3479,-2023,2023
0.152869,1379,3431,-2052,2052
0.152625,1353,3408,-2055,2055
0.152625,1353,3363,-2010,2010
0.151648,1252,3332,-2080,2080
0.151893,1277,3285,-2008,2008
0.151893,1277,3262,-1985,1985
0.150916,1177,3210,-2033,2033
0.149695,1054,3190,-2136,2136
0.150183,1103,3153,-2050,2050
0.149939,1079,0,1079,1079
0.149206,1006,0,1006,1006
0.148718,957,2941,-1984,1984
0.148230,909,2919,-2010,2010
0.148474,933,0,933,933
0.148230,909,0,909,909
0.147253,815,0,815,815
0.148230,909,0,909,909
0.147741,862,0,862,862
0.147741,862,0,862,862
0.147741,862,0,862,862
0.198779,7514,0,7514,7514
0.184371,5357,0,5357,5357
0.178999,4591,3420,1171,1171
0.178755,4557,3799,758,758
0.178266,4489,4593,-104,104
0.178022,4455,4907,-452,452
0.177778,4421,5309,-888,888
0.176557,4253,5465,-1212,1212
0.175824,4153,5493,-1340,1340
0.175580,4120,5473,-1353,1353
0.173871,3889,5431,-1542,1542
0.173871,3889,5332,-1443,1443
0.172161,3662,5276,-1614,1614
0.172161,3662,5161,-1499,1499
0.170940,3503,5108,-1605,1605
0.170208,3408,4977,-1569,1569
0.169475,3313,4876,-1563,1563
0.168987,3251,4821,-1570,1570
0.168498,3189,4713,-1524,1524
0.167766,3096,4673,-1577,1577
0.168254,3158,4569,-1411,1411
0.166789,2974,4505,-1531,1531
0.166300,2913,4412,-1499,1499
0.165812,2853,4374,-1521,1521
0.165568,2823,4300,-1477,1477
0.164103,2645,4217,-1572,1572
0.164835,2733,4180,-1447,1447
0.164591,2704,4113,-1409,1409
0.163614,2586,4081,-1495,1495
0.163370,2557,4012,-1455,1455
0.163126,2527,3977,-1450,1450
0.162393,2440,3921,-1481,1481
0.161416,2325,3892,-1567,1567
0.161416,2325,3831,-1506,1506
0.161661,2354,3782,-1428,1428
0.160684,2240,3744,-1504,1504
0.159951,2156,3676,-1520,1520
0.159707,2128,3652,-1524,1524
0.160440,2212,3594,-1382,1382
0.158730,2016,3557,-1541,1541
0.158974,2044,3518,-1474,1474
0.159707,2128,3487,-1359,1359
0.158730,2016,3442,-1426,1426
0.157998,1934,3405,-1471,1471
0.157998,1934,3378,-1444,1444
0.157753,1907,3333,-1426,1426
0.157753,1907,3317,-1410,1410
